Country Name,Country Code,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SP.POP.1564.TO.ZS,SP.POP.0014.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL,SI.POV.GAPS,SI.POV.UMIC.GP,SH.IMM.MEAS,SH.IMM.IDPT,SG.GEN.PARL.ZS,EN.ATM.CO2E.PC,EN.ATM.METH.KT.CE,EN.ATM.GHGT.KT.CE,SH.H2O.SMDW.ZS,SH.H2O.SMDW.UR.ZS,SH.H2O.BASW.RU.ZS
Oman,OMN,75909397659.29779,16707.62300632143,71.6002019193342,25.6434693104732,2.75632877019262,37.9146537647255,62.0853462352745,4543399,NA,NA,99,99,2.32558139534884,15.636201002817495,19838.88305,95082.40834,90.5571638219463,NA,76.2507799139666
Pakistan,PAK,300425609817.9812,1322.3147853955404,58.553442363316,37.2723784741093,4.17417916257474,49.4642214079999,50.535778151853,227196741,NA,NA,83,80,20.1754385964912,0.8103602155103097,169428.2367,436608.9225,48.5468342411643,55.6138501592209,88.6786883856699
Palau,PLW,257885921.875,14349.316819218784,69.9616069441353,20.8852659692856,9.15312708657912,47.8243935010016,52.1756064989984,17972,NA,NA,93,96,6.25,8.802581793901624,19.526302,195.78888,87.9642432501855,95.1832755883078,99.304971643835
Panama,PAN,57086836900,13293.333195168774,64.9574625910765,26.6787777979979,8.36375961092554,49.9610655375052,50.0389344624948,4294396,NA,NA,80,74,22.5352112676056,2.2314430248165285,5047.340489,17231.02452,NA,NA,85.5400704653612
Papua New Guinea,PNG,23848445103.92275,2446.0846866061465,62.0495064433148,34.9169097525652,3.03358380411995,48.3112709802618,51.6887392765271,9749640,NA,NA,47,39,0,0.5632515662116755,10854.74217,18397.91713,NA,NA,42.1211197286806
Paraguay,PRY,35432178068.18139,5353.348064562786,64.6306258257859,29.2071397760435,6.16223439817064,49.7788612407733,50.2211538679453,6618695,0.2,6.9,80,79,16.25,1.14459119207034,30106.5439,50784.02825,64.084221431351,72.2064769603427,99.1112275316309
Peru,PER,201947615138.56744,6063.62692279047,65.0725950371773,26.6748703998912,8.25253456293149,50.4592287059542,49.5407682914716,33304756,1.8,17.2,77,72,26.1538461538462,1.3985660186190825,31679.81165,89865.35382,51.4062095308154,59.5068494959253,81.7467887785023
Philippines,PHL,361751145451.59674,3224.422811217668,63.8366365067102,30.9411761743497,5.22218731894015,49.2401746354344,50.7598262559029,112190977,NA,NA,72,71,27.9605263157895,1.1896794516728382,65722.00682,224971.7625,47.428127091221,61.72007063712,91.0619332247999
Poland,POL,599442783598.0636,15816.820402138195,66.2779564153475,15.3480034078472,18.3740401768053,51.6237406503311,48.3762619519133,37899070,0.1,0.4,80,90,28.695652173913,7.367563372927092,29540.38185,338383.8449,89.6191876786659,NA,83.5343700465432
Portugal,PRT,229031860520.77728,22242.406417971975,64.2076135406882,13.4956608643372,22.2967255949746,52.8084832755109,47.1915167244891,10297081,0.2,1,99,99,40,3.784907586917108,11383.20988,55640.70734,95.0144446619063,97.0880452208485,98.0033458678019
Puerto Rico,PRI,103130900000,31427.42911367988,64.3548216762959,13.9401347581562,21.7050435655479,52.6880415605502,47.31198900587,3281557,NA,NA,NA,NA,NA,NA,NA,NA,99.8731075904989,NA,NA
Qatar,QAT,144411363345.27032,52315.66007831166,83.3925158990503,15.3516629020952,1.25582119885451,27.3510398006075,72.6489601993925,2760385,NA,NA,90,89,9.75609756097561,31.726842451324725,30708.39042,119605.3672,96.6429334754782,NA,NA
Romania,ROU,251362514349.69714,13047.456656399327,65.2959873523551,16.0181197048859,18.6858929427591,51.6210954839199,48.37890451608,19265250,0.7,4.1,87,87,21.8844984802432,3.5641375014598826,16458.96123,95744.39542,81.9888316214229,94.9535041959628,100
Russian Federation,RUS,1493075894362.1426,10194.44140625,67.0134619314898,17.6804678846996,15.3060701838106,53.5473054858739,46.4526938273947,144073139,0,0.8,97,97,15.7777777777778,11.232288067243402,617227.2995,2331479.378,76.040643880787,NA,91.0148886650053
Rwanda,RWA,10172303393.061218,773.7732608505089,57.5710321064882,39.3268624174073,3.10210547610455,51.1412739128894,48.8587260871106,13146362,NA,NA,94,91,61.25,0.10512414004726174,2680.924714,6329.924675,NA,52.6326839046539,58.5001916804747
Samoa,WSM,868898358.2664367,4042.7227515432382,57.0605710244522,37.9252266440856,5.01420233146218,48.9910621647149,51.0094031052115,214929,NA,NA,66,89,10,0.9607823979081465,267.323935,538.887695,62.1070616668144,90.1915,96.9696443120858
